BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	collection_date_s	geo_loc_name_s	isolation_source_s	sample_description_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	project_name_s	source_s
SAMN01087032	SRX220239	454Reads.So1183K4n1c1K1901	4	11	SRR656019	SRS387812	So183H6n2c1K1102	11-Apr-10	Panama: Apartment183, Gamboa	soil	Soil>1m of Mycocepurus smithii nest KK100411-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087033	SRX220240	454Reads.SoCav00n1c1U0905	5	13	SRR656020	SRS387813	SoCav00n1c1U0905	09-Apr-10	Panama: Casa Verde	soil	Soil>1m of Mycocepurus smithii nest TAL100409-05	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087034	SRX220241	454Reads.SoGctB4n2c2T0603	12	28	SRR656021	SRS387814	SoGctB4n2c2T0603	06-Apr-10	Panama: Gatun	soil	Soil>1m of Mycocepurus smithii nest TAL100406-03	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087035	SRX220242	454Reads.W1GreB2n1c5U0301	1	4	SRR656022	SRS387815	W1GreB2n1c5U0301	03-Apr-10	Panama: Greenhouse, Gamboa	worker	Mycocepurus smithii worker>source colony:UGM100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087036	SRX220243	454Reads.W2AchG1n3c1T0402	5	12	SRR656023	SRS387816	W2AchG1n3c1T0402	04-Apr-10	Panama: Achiote	worker	Mycocepurus smithii worker>source colony:TAL100404-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087037	SRX220244	454Reads.W2ResA5n4c1R1207	3	8	SRR656024	SRS387817	W2ResA5n4c1R1207	12-Apr-10	Panama: Resort, Gamboa	worker	Mycocepurus smithii worker>source colony:RS100412-07	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087038	SRX220245	454Reads.W2ResG0n1c5U0201	0	2	SRR656025	SRS387818	W2ResG0n1c5U0201	02-Apr-10	Panama: Resort, Gamboa	worker	Mycocepurus smithii worker>source colony:UGM100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087039	SRX220246	454Reads.W3Res00n3c1U0202	3	8	SRR656026	SRS387819	W3Res00n3c1U0202	02-Apr-10	Panama: Resort, Gamboa	worker	Mycocepurus smithii worker>source colony:UGM100402-02	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087040	SRX220247	454Reads.W4AchG1n1c1R0401	1	4	SRR656027	SRS387820	W4AchG1n1c1R0401	04-Apr-10	Panama: Achiote	worker	Mycocepurus smithii worker>source colony:RS100404-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087041	SRX220248	454Reads.W4AchG3n2c1T0401	1	4	SRR656028	SRS387821	W4AchG3n2c1T0401	04-Apr-10	Panama: Achiote	worker	Mycocepurus smithii worker>source colony:TAL100404-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087042	SRX220249	454Reads.W4AchG3n2c2T0401	2	5	SRR656029	SRS387822	W4AchG3n2c2T0401	04-Apr-10	Panama: Achiote	worker	Mycocepurus smithii worker>source colony:TAL100404-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087044	SRX220251	454Reads.W4labA5n4c1R1207	12	29	SRR656031	SRS387823	W4labA5n4c1R1207	01-Jun-11	Panama: Resort, Gamboa	worker	Mycocepurus smithii worker>source colony:RS100412-07	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087043	SRX220250	454Reads.W4GreD5n2c2R0301	10	24	SRR656030	SRS387824	W4GreD5n2c2R0301	03-Apr-10	Panama: Greenhouse, Gamboa	worker	Mycocepurus smithii worker>source colony:RS100403-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087045	SRX220252	454Reads.W4Res00n1c1U0201	3	8	SRR656032	SRS387825	W4Res00n1c1U0201	02-Apr-10	Panama: Resort, Gamboa	worker	Mycocepurus smithii worker>source colony:UGM100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
SAMN01087046	SRX220253	454Reads.W5Res00n2c1K0201	2	5	SRR656033	SRS387826	W5Res00n2c1K0201	02-Apr-10	Panama: Resort, Gamboa	worker	Mycocepurus smithii worker>source colony:KK100402-01	AMPLICON	<not provided>	PRJNA170251	UNIVERSITY OF TEXAS	public	0	SINGLE	PCR	GENOMIC	2013-07-10	ant metagenome	LS454	2013-07-10	SRP018247	<not provided>	<not provided>	Bacterial communities of the attine ant Mycocepurus smithii, its fungus gardens, nest wall soil, and adjunct soil	<not provided>
